STATIONNAME,RACKTOCNT,BIKETOCNT,SHARED_RATE,LATITUDE,LONGITUDE,STATIONID,UPDATETIME
760. 잣절보도육교 아래,10,9,90,37.50682068,126.84429932,ST-1501,2023-01-13 11:15:09.581783
762. 오목로 무중력지대 앞,10,2,20,37.52474213,126.87766266,ST-1503,2023-01-13 11:15:09.581783
763. 목동11단지 아파트,10,14,140,37.51065826,126.85916138,ST-1504,2023-01-13 11:15:09.581783
764. 목동청소년수련관,30,8,27,37.53102875,126.87589264,ST-1505,2023-01-13 11:15:09.581783
765. 오목교역 3번출구,12,5,42,37.52477646,126.87548065,ST-1731,2023-01-13 11:15:09.581783
766. 신목동역 3번출구,15,2,13,37.54394913,126.88346100,ST-1736,2023-01-13 11:15:09.581783
767.신정숲속마을아파트,10,23,230,37.50574493,126.83631134,ST-1993,2023-01-13 11:15:09.581783
768.목동5단지아파트 501동,15,2,13,37.53566742,126.88158417,ST-1994,2023-01-13 11:15:09.581783
769.CBS방송국 앞,20,15,75,37.52785492,126.87467194,ST-1995,2023-01-13 11:15:09.581783
770.목동역5번출구 교통정보센터 앞,15,37,247,37.52571487,126.86486816,ST-1996,2023-01-13 11:15:09.581783
771.목동아파트 703동 앞,8,4,50,37.52820587,126.87016296,ST-1997,2023-01-13 11:15:09.581783
"773.염창역 3, 4번 출구 사이",10,12,120,37.54670715,126.87457275,ST-1999,2023-01-13 11:15:09.581783
774.등촌역 4번 출구 ,11,1,9,37.54950714,126.86721802,ST-2000,2023-01-13 11:15:09.581783
775.세종그랑시아 앞(102동),10,4,40,37.53837585,126.86383057,ST-2001,2023-01-13 11:15:09.581783
776.목마공원,15,13,87,37.53874207,126.88568115,ST-2002,2023-01-13 11:15:09.581783
777.신월6차보람아파트 앞,10,14,140,37.53012848,126.83477783,ST-2003,2023-01-13 11:15:09.581783
779. 신정1동 주민센터 앞,20,15,75,37.51854324,126.85388184,ST-2005,2023-01-13 11:15:09.581783
780.신정교 하부,15,36,240,37.51733780,126.87764740,ST-2006,2023-01-13 11:15:09.581783
781.신정보도육교 아래,15,30,200,37.51759338,126.87655640,ST-2007,2023-01-13 11:15:09.581783
782.서남병원 후문,20,36,180,37.51167297,126.83274078,ST-2008,2023-01-13 11:15:09.581783
"785.양천구청, 보건소 사잇길",20,10,50,37.51732635,126.86630249,ST-2011,2023-01-13 11:15:09.581783
