,상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류코드,표준산업분류명,도로명,경도,위도
2416,GS25만수전원,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 인주대로887번길,126.737970238215,37.4511861578231
2425,세븐일레븐강화후포항점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 강화군 화도면 해안남로2845번길,126.391538877735,37.6402228681106
2484,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 옹진군 북도면 시도로86번길,126.431153919937,37.5445309556412
2495,세븐일레븐인천도림주공점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 논고개로,126.729911500255,37.4197886680833
2605,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 영성로,126.744027642328,37.5200987231379
2772,지에스25청학중앙,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 연수구 청솔로,126.66141252613,37.4276467352947
2817,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 광장로,126.723337286585,37.4895572235053
2881,미니스톱청라딜라이트점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 청라에메랄드로,126.656809511454,37.5321136491221
2918,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 청라에메랄드로41번길,126.65627867949,37.5289089902055
2949,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 고산후로78번길,126.698782625688,37.5907984699451
2962,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 연수구 청능대로53번길,126.674054166242,37.4181030779529
3067,갤러리아클락롯데인천점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 예술로,126.70151426128,37.4470338875856
3129,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 옹진군 백령면 백령로,124.664919233135,37.9607481944409
3171,미니스톱,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 중구 운중로,126.551213000012,37.4971764516516
3216,세븐일레븐,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 중구 축항대로296번길,126.62380575704,37.4316839707462
3217,보광피앤씨훼미리마트인하학생회관,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 미추홀구 인하로,126.651348167246,37.4514367162483
3238,CU부평역사2호점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 광장로,126.723337286585,37.4895572235053
3258,YES25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 계양구 계산로,126.728860681422,37.5372631927907
3366,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 중구 대무의로,126.412928850219,37.4048122500128
3389,미니스톱,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 동구 금곡로,126.640328947816,37.473277505175
3419,씨마트,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 미추홀구 석바위로53번길,126.678541828388,37.4616372749886
3436,G마트24부평남부역점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 동수북로162번길,126.724043820563,37.4879069580077
3506,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 만수서로,126.733580095007,37.4635464787033
3548,세븐일레븐,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 연수구 먼우금로,126.667414735045,37.4007104617054
3622,미니스톱화성동탄점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 동구 금곡로,126.642694814909,37.4731064826837
3751,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 장승남로,126.73898732538,37.4424389110282
3798,세븐일레븐,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 강화군 하점면 강화대로,126.443851610706,37.769214099175
